province_code,province,never_seek_treatment_from_health_profesional,never_seek_treatment_from_health_profesional_95%_CI_lower,never_seek_treatment_from_health_profesional_95%_CI_upper,weighted_n_never_seek_treatment,reason_not_having_toothache,reason_not_having_toothache_95%_CI_lower,reason_not_having_toothache_95%_CI_upper,reason_no_urgency,reason_no_urgency_95%_CI_lower,reason_no_urgency_95%_CI_upper,reason_going_to_unlicensed_dentist,reason_going_to_unlicensed_dentist_95%_CI_lower,reason_going_to_unlicensed_dentist_95%_CI_upper,reason_self_treatment,reason_self_treatment_95%_CI_lower,reason_self_treatment_95%_CI_upper,weighted_n_reason
34,DI Yogyakarta,86.5,85.3,87.5,11225,76.0,74.4,77.5,55.8,53.0,58.6,0.3,0.2,0.6,15.0,13.5,16.7,9767
35,Jawa Timur,91.9,91.5,92.3,124362,66.1,65.3,67.0,57.7,56.5,58.8,1.1,0.9,1.3,20.7,19.9,21.5,114991
36,Banten,91.2,90.4,92.0,36709,63.7,62.0,65.4,58.4,56.3,60.5,0.4,0.3,0.6,24.7,23.1,26.4,33688
51,Bali,90.0,89.0,90.9,13137,74.3,72.4,76.0,66.7,64.4,69.0,0.7,0.4,1.0,11.4,10.4,12.6,11893
52,Nusa Tenggara Barat,92.9,92.2,93.5,16431,64.3,62.2,66.3,49.9,47.1,52.8,0.9,0.6,1.4,24.1,22.3,26.0,15358
53,Nusa Tenggara Timur,95.3,94.9,95.7,16322,59.1,58.0,60.3,41.4,39.9,43.0,1.6,1.1,2.3,30.2,29.0,31.4,15650
61,Kalimantan Barat,92.5,91.8,93.2,16727,55.8,53.9,57.6,58.9,56.9,60.9,2.0,1.4,2.9,29.7,27.8,31.6,15568
62,Kalimantan Tengah,95.9,95.4,96.4,8225,56.0,53.6,58.3,55.1,52.6,57.5,1.6,1.1,2.4,37.0,34.5,39.6,7939
63,Kalimantan Selatan,92.8,92.1,93.4,12523,52.7,51.0,54.3,55.1,53.2,56.9,1.7,1.4,2.1,34.0,32.4,35.7,11688
64,Kalimantan Timur,88.3,87.3,89.3,11651,61.8,59.8,63.7,60.4,58.0,62.8,1.2,0.9,1.7,20.1,18.7,21.6,10357
65,Kalimantan Utara,90.4,88.8,91.8,2162,58.6,55.2,61.9,57.4,54.1,60.6,0.7,0.4,1.2,27.1,24.5,29.9,1967
71,Sulawesi Utara,94.3,93.7,94.9,7994,48.4,46.4,50.4,55.8,53.6,58.1,0.8,0.6,1.1,36.7,35.0,38.5,7587
72,Sulawesi Tengah,93.4,92.7,94.0,9127,46.9,45.2,48.7,52.2,50.3,54.1,1.9,1.5,2.5,33.3,31.6,35.1,8573
73,Sulawesi Selatan,90.8,90.2,91.3,27815,56.2,54.9,57.4,64.7,63.3,66.0,1.6,1.4,1.9,25.4,24.2,26.5,25409
74,Sulawesi Tenggara,92.7,92.0,93.3,8108,55.2,53.5,56.9,53.0,51.0,54.9,3.4,2.9,3.9,30.5,29.1,32.0,7560
75,Gorontalo,95.3,94.6,96.0,3598,48.6,46.1,51.0,49.0,45.9,52.0,0.8,0.5,1.1,39.7,37.1,42.3,3451
76,Sulawesi Barat,93.0,92.0,94.0,4361,44.1,41.8,46.6,58.0,54.9,61.0,1.8,1.4,2.4,34.7,32.3,37.3,4082
82,Maluku,96.0,95.4,96.6,5673,51.1,49.2,53.0,52.7,50.2,55.3,1.2,0.9,1.5,34.2,32.5,35.9,5480
81,Maluku Utara,95.6,95.0,96.2,3955,58.2,56.2,60.3,50.6,48.5,52.8,2.2,1.6,2.9,31.7,29.8,33.6,3806
91,Papua,96.0,95.1,96.7,1674,63.0,59.9,66.0,51.1,46.4,55.7,0.7,0.4,1.3,24.6,21.9,27.6,1616
93,Papua Selatan,94.9,93.9,95.8,1808,55.6,52.7,58.5,49.0,46.0,52.0,0.9,0.5,1.5,36.6,33.9,39.3,1726
94,Papua Tengah,89.8,87.8,91.4,3058,60.1,57.1,63.0,48.9,45.4,52.5,1.7,1.1,2.7,30.5,27.6,33.5,2761
95,Papua Pegunungan,94.0,92.6,95.2,1539,50.0,46.2,53.8,43.7,39.6,47.8,0.7,0.3,1.6,36.8,32.7,41.1,1456
92,Papua Barat,78.8,70.7,85.2,4350,58.9,54.8,63.0,50.0,45.1,54.9,7.3,3.6,14.4,25.9,21.6,30.7,3449
96,Papua Barat Daya,93.8,92.1,95.2,4341,53.8,48.9,58.7,40.4,35.7,45.4,4.5,2.5,8.2,26.1,22.4,30.2,4097
0,INDONESIA,91.9,91.8,92.1,829573,61.1,60.8,61.4,57.0,56.5,57.4,1.1,1.1,1.2,24.8,24.5,25.1,767244
