province_code,province,taking_medicine,taking_medicine_95%_CI_lower,taking_medicine_95%_CI_upper,dental_hygine_and_health_counseling,dental_hygine_and_health_counseling_95%_CI_lower,dental_hygine_and_health_counseling_95%_CI_upper,tooth_filling,tooth_filling_95%_CI_lower,tooth_filling_95%_CI_upper,tooth_pulling,tooth_pulling_95%_CI_lower,tooth_pulling_95%_CI_upper,dentures_installation,dentures_installation_95%_CI_lower,dentures_installation_95%_CI_upper,scaling,scaling_95%_CI_lower,scaling_95%_CI_upper,weighted_n
72,Sulawesi Tengah,64.3,59.7,68.5,31.5,27.7,35.6,19.9,17.0,23.0,55.3,50.8,59.8,4.5,3.4,6.1,8.0,6.0,10.5,564
73,Sulawesi Selatan,60.9,58.1,63.6,38.6,35.8,41.4,20.0,17.7,22.5,49.8,47.1,52.5,4.3,3.6,5.2,14.3,11.8,17.2,2382
74,Sulawesi Tenggara,63.8,59.7,67.7,41.4,37.1,45.9,25.0,21.6,28.7,54.5,50.7,58.2,5.7,4.2,7.7,12.5,9.9,15.7,552
75,Gorontalo,77.0,70.9,82.1,42.4,35.9,49.2,20.7,16.4,25.8,39.5,34.1,45.1,2.7,1.5,4.7,10.3,6.6,15.6,156
76,Sulawesi Barat,64.3,58.6,69.6,34.1,28.0,40.8,14.7,11.0,19.4,47.9,42.6,53.3,5.9,3.6,9.4,6.5,4.1,10.4,282
82,Maluku,69.3,62.4,75.5,31.7,26.8,37.0,14.0,10.4,18.6,51.6,45.0,58.1,3.5,2.1,5.8,10.3,6.8,15.3,211
81,Maluku Utara,83.3,78.7,87.0,31.7,26.5,37.4,16.4,12.2,21.7,38.9,32.7,45.5,2.5,1.4,4.4,8.5,5.6,12.6,160
91,Papua,74.9,65.0,82.8,39.8,30.4,50.0,23.9,18.0,30.8,40.5,32.9,48.7,1.2,0.5,2.8,5.9,3.3,10.1,63
93,Papua Selatan,76.8,68.1,83.7,48.7,38.0,59.5,21.3,13.9,31.2,35.1,27.9,43.2,1.9,0.8,4.9,11.7,5.6,22.7,86
94,Papua Tengah,85.9,78.9,90.8,52.9,44.5,61.2,36.2,30.0,43.0,31.1,24.3,38.9,2.7,1.3,5.7,11.9,7.7,18.1,291
95,Papua Pegunungan,72.8,62.6,81.1,41.0,32.7,49.8,11.7,6.8,19.5,34.8,26.6,44.0,0.7,0.2,2.8,8.3,4.7,14.1,85
92,Papua Barat,94.3,89.9,96.9,16.9,6.6,36.7,6.1,3.8,9.8,24.7,12.4,43.2,2.6,1.1,6.1,4.0,2.2,7.3,857
96,Papua Barat Daya,95.6,86.7,98.6,42.5,31.4,54.4,10.9,6.1,18.8,30.8,21.7,41.7,1.6,0.7,3.6,7.9,3.4,17.4,250
0,INDONESIA,67.5,66.7,68.3,43.0,42.1,43.9,24.6,23.9,25.2,31.9,31.2,32.6,3.1,2.9,3.3,12.5,11.9,13.0,62329
